Max, 4/14/2023 10:13:14 AM,  5,27,23,26,7,28,11, Bonus 47
649, 4/14/2023 10:13:40 AM,  44,32,44,39,7,36, Bonus 16

Max, 4/18/2023 12:33:17 AM,  23,17,29,45,18,42,7, Bonus 10
Max, 4/18/2023 2:52:32 AM,  11,49,36,47,25,42,44, Bonus 13
Max, 4/18/2023 3:39:00 AM,  2,3,15,4,32,24,38, Bonus 45
649, 4/18/2023 3:39:23 AM,  30,7,22,11,33,34, Bonus 48
Max, 4/18/2023 10:22:06 AM,  12,4,39,21,41,28,45, Bonus 49
649, 4/18/2023 10:22:19 AM,  21,43,9,13,39,22, Bonus 40
Max, 4/18/2023 12:12:26 PM,  20,26,6,14,34,49,17, Bonus 17
649, 4/18/2023 12:12:37 PM,  5,36,39,12,38,36, Bonus 5
Max, 4/18/2023 12:21:38 PM,  46,24,1,21,2,37,29, Bonus 13
649, 4/18/2023 12:21:47 PM,  4,26,5,10,29,45, Bonus 12
649, 4/18/2023 10:04:01 PM,  24,7,33,6,12,35, Bonus 42
649, 4/18/2023 10:04:10 PM,  14,46,25,43,34,13, Bonus 28
Max, 4/18/2023 10:10:00 PM,  34,18,17,7,33,43,3, Bonus 29
649, 4/18/2023 10:10:18 PM,  10,40,13,11,10,34, Bonus 17
Max, 4/18/2023 10:22:12 PM,  13,26,3,16,41,11,44, Bonus 27
649, 4/18/2023 10:22:23 PM,  5,6,30,43,32,6, Bonus 32
Max, 4/18/2023 11:47:31 PM,  10,38,1,36,34,29,14, Bonus 30
649, 4/18/2023 11:51:01 PM,  39,9,46,35,25,41, Bonus 13
Max, 2/2/2024 4:32:48 PM,  4,3,18,18,17,8,12, Bonus 46
649, 2/2/2024 4:33:12 PM,  9,47,14,16,34,43, Bonus 33
